Question,Good_answer,Suggested_answer_1,Suggested_answer_2,Suggested_answer_3,,Level,Subthemes,Category,Quizz_ordering
"Dans Titanic, quel est le bijou qui est jeté dans l'eau ?",Le bleu de l'ocean,L'étoile des mers,Le ruby de la liberté,Le collier des glaces,,1,Culture G #1,culture générale,2
Combien de films Star Wars ont été réalisés par Georges Lucas ?,4,5,6,7,,1,Culture G #1,culture générale,2
"Avec 5 césars, quelle actrice a été le plus de fois récompensée par un César ?",Isabelle Adjani,Nathalie Baye,Isabelle Huppert,Catherine Deneuve,,1,Culture G #1,culture générale,3
Quel est le seul acteur a avoir reçu 3 fois le césars du meilleur acteur ?,Michel Serrault,Gérard Depardieu,Philippe Noiret,Daniel Auteuil,,1,Culture G #1,culture générale,3
Combien d'oscars chacun ont réçu les 2 réalisateurs (Willian Wyler et Frank Capra) les plus récompensés ?,3,4,5,6,,1,Culture G #1,culture générale,3
"Avec Saul Zaentz, qui est le seul autre producteur a avoir reçu 3 oscars ?",Sam Spiegel,Steven Spielberg,Clint Eastwood,John Ford,,1,Culture G #1,culture générale,3
Quel est le plus gros succès francais au box office mondiale,Lucy,Intouchables,Taken 2,Le 5e élement,,1,Culture G #1,culture générale,3
Quel est l'acteur qui a incarné le plus de fois (7) James Bond ?,Roger Moore,Sean Connery,Pierce Brosnan,Daniel Craig,,1,Culture G #1,culture générale,3
Qui a composé la musique du film  Gladiator ?,Hans Zimmer,John Williams,James Horner,Howard Shore,,1,Culture G #1,culture générale,3
"Dans retour vers le futur, quelle est la voiture utilisée pour voyager dans le temps ?",De Lorean,Lotus,Mustang,Aston Martin,,1,Culture G #1,culture générale,3
En quelle année Anne Frank commence-t-elle à écrire son journal ?,1942,1917,1956,1875,,1,Culture G #1,culture générale,3
Quel est la franchise de cinéma ayant réalisé le plus de recette (27 milliards $) ?,Marvel,Star Wars,Spider-Man,James Bond,,1,Culture G #1,culture générale,3
Quel film a remporté l'oscar du meilleur film en 2010 ?,Démineurs,Avatar,The Blind Side,District 9,,1,Oscar 1990-2022,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 2011 ?,Le Discours d'un roi,127 heures,Black Swan,Fighter,,1,Oscar 1990-2022,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 2012 ?,The Artist,The Descendants,Extrêmement fort et incroyablement près,La Couleur des sentiments,,1,Oscar 1990-2022,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 2013 ?,Argo,Amour,Les Bêtes du sud sauvage,Django Unchained,,1,Oscar 1990-2022,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 2014 ?,Twelve Years a Slave,American Bluff,Capitaine Phillips,Dallas Buyers Club,,1,Oscar 1990-2022,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 2015 ?,Birdman,American Sniper,Boyhood,The Grand Budapest Hotel,,1,Oscar 1990-2022,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 2016 ?,Spotlight,The Big Short - Le Casse du siècle,Brooklyn,Mad Max- Fury Road,,1,Oscar 1990-2022,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 2017 ?,Moonlight,Comancheria,Fences,Les Figures de l'ombre,,1,Oscar 1990-2022,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 2018 ?,La Forme de l'eau,Call Me by Your Name,Les Heures sombres,Dunkerque,,1,Oscar 1990-2022,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 2019 ?,Green Book,Black Panther,BlacKkKlansman,Bohemian Rhapsody,,1,Oscar 1990-2022,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 2020 ?,Parasite,Le Mans 66,The Irishman,Jojo Rabbit,,1,Oscar 1990-2022,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 2021 ?,Nomadland,The Father,Judas and the Black Messiah,Mank,,1,Oscar 1990-2022,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 2022 ?,Coda,Belfast,Don't Look Up - Déni cosmique,Drive My Car,,1,Oscar 1990-2022,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 2000 ?,American Beauty,"L'Œuvre de Dieu, la part du Diable",La Ligne verte,Révélations,,1,Oscar 1990-2022,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 2001 ?,Gladiator,Le Chocolat,"Erin Brockovich, seule contre tous",Tigre et Dragon,,1,Oscar 1990-2022,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 2002 ?,Un homme d'exception,Gosford Park,In the Bedroom,Moulin Rouge,,1,Oscar 1990-2022,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 2003 ?,Chicago,Gangs of New York,The Hours,Le Pianiste,,1,Oscar 1990-2022,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 2004 ?,Le Seigneur des anneaux - Le Retour du roi,Lost in Translation,Master and Commander - De l'autre côté du monde,Mystic River,,1,Oscar 1990-2022,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 2005 ?,Million Dollar Baby,Aviator,Neverland,Ray,,1,Oscar 1990-2022,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 2006 ?,Collision,Good Night and Good Luck,Munich,Le Secret de Brokeback Mountain,,1,Oscar 1990-2022,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 2007 ?,Les Infiltrés,Babel,Lettres d'Iwo Jima,Little Miss Sunshine,,1,Oscar 1990-2022,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 2008 ?,No Country for Old Men,Juno,Michael Clayton,Reviens-moi,,1,Oscar 1990-2022,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 2009 ?,Slumdog Millionaire,L'Étrange Histoire de Benjamin Button,"Frost/Nixon, l'heure de vérité",Harvey Milk,,1,Oscar 1990-2022,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1990 ?,Miss Daisy et son chauffeur,Le Cercle des poètes disparus,Jusqu'au bout du rêve,My Left Foot,,1,Oscar 1990-2022,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1991 ?,Danse avec les loups,Les Affranchis,L'Éveil,Ghost,,1,Oscar 1990-2022,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1992 ?,Le Silence des agneaux,La Belle et la Bête,Bugsy,JFK,,1,Oscar 1990-2022,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1993 ?,Impitoyable,The Crying Game,Des hommes d'honneur,Retour à Howards End,,1,Oscar 1990-2022,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1994 ?,La Liste de Schindler,Au nom du père,Le Fugitif,La Leçon de piano,,1,Oscar 1990-2022,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1995 ?,Forrest Gump,Les Évadés,Pulp Fiction,Quatre mariages et un enterrement,,1,Oscar 1990-2022,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1996 ?,Braveheart,Apollo 13,"Babe, le cochon devenu berger",Le Facteur,,1,Oscar 1990-2022,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1997 ?,Le Patient anglais,Fargo,Jerry Maguire,Secrets et Mensonges,,1,Oscar 1990-2022,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1998 ?,Titanic,The Full Monty,L.A. Confidential,Pour le pire et pour le meilleur,,1,Oscar 1990-2022,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1999 ?,Shakespeare in Love,Elizabeth,Il faut sauver le soldat Ryan,La Ligne rouge,,1,Oscar 1990-2022,Oscar meilleur film,3
Qui prononce cette phrase dans le film Fight Club « Les choses que l’on possède finissent par nous posséder » ?,brad pitt,Edward Norton,Tom Cruise,Jared Leto,,2,Culture G #2,culture générale,1
Dans quel film de Tarantino entend-on cette réplique « C’est à une demi-heure d’ici. J’y suis dans dix minutes » ?,Pulp fiction,Reservoir dogs,django,kill bill,,2,Culture G #2,culture générale,1
"Avec un cout de 398 millions de dollars, quel est le film le plus cher de l'histoire ?",Pirates des Caraïbes : La Fontaine de Jouvence,Avengers: Endgame,Avengers: Infinity War,Spider-Man 3,,2,Culture G #2,culture générale,1
Ou habite Amelie Poulain ?,Montmartre,Montparnasse,Montorgeuil,Mont Saint Michel,,2,Culture G #2,culture générale,1
Pour quel film Marilyn Monroe décrocha le Golden Globe de la meilleure actrice en 1960 ?,Certains l'aiment chaud,Le Prince et la Danseuse,Les hommes préfèrent les blondes,Sept ans de réflexion,,2,Culture G #2,culture générale,1
"Dans quel film peut-on entendre la célèbre réplique : ""Les cons ça ose tout ! C’est même à ça qu’on les reconnaît"" ?",Les tontons flingueurs,Flic ou voyou,Fantomas,Les Barbouzes,,2,Culture G #2,culture générale,1
"Quels mots Charles Foster Kane prononce-t-il avant de mourir dans ""Citizen Kane"" ?",Bouton de rose,Adieu,Kane je t'aime,Pour l'honneur,,2,Culture G #2,culture générale,1
Dans quel film entend-on cette réplique « J’adore l’odeur du napalm au petit matin » ?,Apocalypse Now,Il fau sauver le soldat Ryan,Full Metal Jacket,Voyage au bout de l'enfer,,2,Culture G #2,culture générale,1
Quel événement a marqué la cérémonie des Oscar en 2000 ?,Vol des oscars,Erreur sur l'oscar du meilleur acteur,Le malaise du presentateur,La gifle de Will Smith,,2,Culture G #2,culture générale,1
Quel acteur refuse de venir chercher son Oscar en guise de protestation contre le sort réservé aux Indiens d’Amérique du Nord ?,Marlon Brando,Al Pacino,Robert de Niro,Jack Nicholson,,2,Culture G #2,culture générale,1
Quel film a obtenu le tout premier César du meilleur film ?,Le Vieux Fusil,Le Dernier Métro,Monsieur Klein,La Balance,,2,Culture G #2,culture générale,2
Pour quel film Coluche a-t-il obtenu le César du meilleur acteur en 1984 ?,TCHAO PANTIN,L'Aile ou la Cuisse,Inspecteur la Bavure,Le Maître d'école,,2,Culture G #2,culture générale,2
Pour quel film Catherine Deneuve a-t-elle obtenu le César de la meilleure actrice en 1993 ?,Indochine,Le petit prince a dit,Un cœur en hiver,Le Zèbre,,2,Culture G #2,culture générale,2
Comment s’appelle le héros de nombreux films de Francis Weber ?,François Pignon,François Perrin,Stephane dupont,henri dupont,,2,Culture G #2,culture générale,2
"Dans combien de films, Pierce Brosnan a-t-il interprété James Bond, l’Agent 007 ?",4,3,5,2,,2,Culture G #2,culture générale,2
Qui a obtenu la Palme d’Or à Cannes en 2009 ?,Le Ruban Blanc,La Vie d'Adèle,Entre les murs,Le vent se lève,,2,Culture G #2,culture générale,2
"Dans quel film d'animation de Hayao Miyazaki, le petit Sosuke découvre-t-il une petite fille poisson rouge ?",PONYO SUR LA FALAISE,Le Vent se lève,Le Voyage de Chihiro,Princesse Mononoké,,2,Culture G #2,culture générale,2
Quel est le film qui a obtenu le plus grand nombre d'entrées en France ?,Titanic,Bienvenue chez les Ch'tis,Intouchables,Avatar,,2,Culture G #2,culture générale,2
"Quel est le genre du film ""West Side Story"" ?",Musical,western,fantastique,catastrophe,,2,Culture G #2,culture générale,2
Comment s'appelle la population autochtone de Pandora dans Avatar ?,Na'vi,Wasaï,Mambok,jaca're,,2,Culture G #2,culture générale,2
Dans quel film la robe de Marilyn Monroe se soulève-t-elle en passant sur une aération du métro ?,Sept Ans de réflexion,Certains l'aiment chaud !,Les hommes préfèrent les blondes,Rivière sans retour,,2,Culture G #2,culture générale,3
"Dans Dikkenek, qui est le dikkenek ?",JC,Step,Claudy,Greg,,2,Culture G #2,culture générale,3
Comment s'appelait les salles de cinéma au début ?,nickelodeons,lumièrodromes,projectivores,cinema,,2,Culture G #2,culture générale,3
Qui a compsé la musique de La liste de Schindler ?,John Williams,Ennio Morricone,James Horner,Howard Shore,,2,Culture G #2,culture générale,3
Quel est le nom du petit garçon dans E.T. l'extra-terrestre ?,Elliott,David,Thomas,Pierre,,2,Culture G #2,culture générale,3
Comment s'appellent les cavaliers du Rohan ?,Rohirrim,Dunedains,Edains,Oriantaux,,2,Culture G #2,culture générale,3
"De quel film est tirée cette réplique ""« Leilou Dallas, multipass. Muultiipaass ! »""?",Le 5e élement,Leon,Nikita,Lucy,,2,Culture G #2,culture générale,3
"De quel joureur d'echecs, Le prodige, film de 2016, raconte-t-il l'histoire ?",Bobby Fisher,Boris Spassky,Gary Kasparov,Magnus Carlsen,,2,Culture G #2,culture générale,3
Quel est la discipline Olympique mise en lumière dans le film Rasta Rocket ?,Bobsleigh,Patinage de vitesse,Patinage artistique,Luge,,2,Culture G #2,culture générale,3
Quel est le plus gros succès au box office mondiale ? (recettes),Autant en emporte le vent,Avatar,Titanic,"Star Wars, épisode IV : Un nouvel espoir",Note : inflation prise en compte,2,Culture G #2,culture générale,3
Quel film a remporté l'oscar du meilleur film en 1980 ?,Kramer contre Kramer,Apocalypse Now,La Bande des quatre,Norma Rae,,2,Oscar 1960-1989,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1981 ?,Des gens comme les autres,Elephant Man,Nashville Lady,Raging Bull,,2,Oscar 1960-1989,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1982 ?,Les Chariots de feu,Atlantic City,Les Aventuriers de l'arche perdue,La Maison du lac,,2,Oscar 1960-1989,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1983 ?,Gandhi,E.T. l'extra-terrestre,Missing,Tootsie,,2,Oscar 1960-1989,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1984 ?,Tendres Passions,Les Copains d'abord,L'Étoffe des héros,L'Habilleur,,2,Oscar 1960-1989,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1985 ?,Amadeus,A Soldier's Story,La Déchirure,La Route des Indes,,2,Oscar 1960-1989,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1986 ?,Out of Africa,Le Baiser de la femme araignée,La Couleur pourpre,L'Honneur des Prizzi,,2,Oscar 1960-1989,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1987 ?,Platoon,Chambre avec vue,Les Enfants du silence,Hannah et ses sœurs,,2,Oscar 1960-1989,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1988 ?,Le Dernier Empereur,Broadcast News,Éclair de lune,Hope and Glory,,2,Oscar 1960-1989,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1989 ?,Rain Man,Les Liaisons dangereuses,Mississippi Burning,Voyageur malgré lui,,2,Oscar 1960-1989,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1970 ?,Macadam Cowboy,Anne des mille jours,Butch Cassidy et le Kid,"Hello, Dolly !",,2,Oscar 1960-1989,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1971 ?,Patton,Airport,Cinq pièces faciles,Love Story,,2,Oscar 1960-1989,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1972 ?,French Connection,La Dernière Séance,Nicolas et Alexandra,Orange mécanique,,2,Oscar 1960-1989,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1973 ?,Le Parrain,Cabaret,Délivrance,Les Émigrants,,2,Oscar 1960-1989,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1974 ?,L'Arnaque,American GraffitiGeorge Lucas,Cris et Chuchotements,L'Exorciste,,2,Oscar 1960-1989,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1975 ?,Le Parrain 2,Chinatown,Conversation secrète,Lenny,,2,Oscar 1960-1989,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1976 ?,Vol au-dessus d'un nid de coucou,Barry Lyndon,Les Dents de la mer,Nashville,,2,Oscar 1960-1989,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1977 ?,Rocky,En route pour la gloire,Les Hommes du président,Network - Main basse sur la télévision,,2,Oscar 1960-1989,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1978 ?,Annie Hall,Julia,Star Wars,"Adieu, je reste",,2,Oscar 1960-1989,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1979 ?,Voyage au bout de l'enfer,Le ciel peut attendre,Une femme libre,Midnight Express,,2,Oscar 1960-1989,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1960 ?,Ben-Hur,Au risque de se perdre,Autopsie d'un meurtre,Les Chemins de la haute ville,,2,Oscar 1960-1989,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1961 ?,La Garçonnière,Alamo,Amants et Fils,Elmer Gantry le charlatan,,2,Oscar 1960-1989,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1962 ?,West Side Story,L'Arnaqueur,Les Canons de Navarone,Fanny,,2,Oscar 1960-1989,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1963 ?,Lawrence d'Arabie,Du silence et des ombres,Le Jour le plus long,The Music ManMeredith Willson,,2,Oscar 1960-1989,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1964 ?,Tom Jones,"America, America",Cléopâtre,La Conquête de l'Ouest,,2,Oscar 1960-1989,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1965 ?,My Fair Lady,Becket,Docteur Folamour,Mary Poppins,,2,Oscar 1960-1989,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1966 ?,La Mélodie du bonheur,Darling,Des clowns par milliers,Le Docteur Jivago,,2,Oscar 1960-1989,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1967 ?,Un homme pour l'éternité,Alfie le dragueur,La Canonnière du Yang-Tse,Qui a peur de Virginia Woolf ?,,2,Oscar 1960-1989,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1968 ?,Dans la chaleur de la nuit,Bonnie et Clyde,Devine qui vient dîner ?,L'Extravagant Docteur Dolittle,,2,Oscar 1960-1989,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1969 ?,Oliver !,Funny Girl,Le Lion en hiver,"Rachel, Rachel",,2,Oscar 1960-1989,Oscar meilleur film,3
"Quelle actrice a trébuché lors de la cérémonie Cesar, tombant dans les bras d’Orson Welles ?",Simone Signoret,Romy Schneider,Annie Girardot,Catherine Deneuve,,3,Culture G #3,culture générale,1
"Lors des Césars 2005, quelle actrice est parodiée par Gad Elmaleh et Will Smith ?",Isabelle Adjani,Claudette Colbert,Simone Signoret,Romy Schneider,,3,Culture G #3,culture générale,1
"Aux Césars 1991, quelle actrice s'est trompée en annonçant le nom de la lauréate du César de la meilleure actrice ?",VANESSA PARADIS,Judith Henry,Judith Godrèche,Catherine Deneuve,,3,Culture G #3,culture générale,1
Qui interprete Natalia Simonova dans Goldeneye ?,Izabella Scorupco,Michelle Yeoh,Sophie Marceau,Halle Berry,,3,Culture G #3,culture générale,1
Quel est le premier film muet à remporter l’Oscar du meilleur film (2012) ?,Les Ailes,The Artist,Les temps moderne,Metropolis,,3,Culture G #3,culture générale,1
"""Autant en emporte le vent"" nous montre un incendie spectaculaire pendant la guerre de Sécession. Quelle ville brûle ?",Atlanta,Denver,Columbia,Boston,,3,Culture G #3,culture générale,1
"Dans V for Vendetta, de quel personnage historique est inspiré le masque ?",Guy Fawkes,David Lloyd,George Town,Alan Moore,,3,Culture G #3,culture générale,1
Par quel franchise de cinéma a été réalisé Batman v Superman : L'aube de la justice,DC,Batman,Spider-Man,Marvel,,3,Culture G #3,culture générale,1
Qui a réalisé le film original dont De Palma s'est inspiré pour réaliser Scarface ?,Howard Hawks,Richard Rosson,Howard Hughes,John Lee Mahin,,3,Culture G #3,culture générale,1
"En quelle année, Différent des autres, premier film à aborder le thème de l'homasexualité est sorti ?",1919,1934,1956,1970,,3,Culture G #3,culture générale,1
Quel est le rapport entre l'acteur qui interprète Voldemort adulte et l'acteur qui l’interprète à 11 ans dans le Prince de Sang Mêlée ? ,Père et fils,Grand père et petit fils,Oncle et neveu,Cousins,,3,Culture G #3,culture générale,2
Qui a composé la musique du film Le bon la brute et le truand ?,Ennio Morricone,Hans Zimmer,John Williams,Howard Shore,,3,Culture G #3,culture générale,2
Qui a composé la musique du film  Braveheart ?,James Horner,Ennio Morricone,Hans Zimmer,John Williams,,3,Culture G #3,culture générale,2
Qui a refusé le César du meilleur acteur en 1989 ?,Jean-Paul-Belmondo,Gérard Depardieu,Alain Delon,Coluche,,3,Culture G #3,culture générale,2
"Dans ""Le Fabuleux Destin d'Amélie Poulain"", quel objet insolite va faire le tour du monde ?",Nain de jardin,Un epouventail,Un arrosoir,un tapis de sol,,3,Culture G #3,culture générale,2
Quel film considère-t-on traditionnellement comme étant le premier film parlant ?,Le chanteur de jazz,Le kid,Les Aile,La ruée vers l'or,,3,Culture G #3,culture générale,2
En quelle année le premier film en technicolore 'Becky Sharp' est-il sorti ?,1935,1941,1947,1929,,3,Culture G #3,culture générale,2
Quel est le film considéré comme le premier au monde et réalisé par les frères Lumière ?,Arrivée d’un train en gare de La Ciotat,La Sortie de l'usine Lumière à Lyon,La Voltige,La Pêche aux poissons rouges,,3,Culture G #3,culture générale,2
"Ce film de 1929, signé Luis Bunuel et Salvador Dali, d'une durée de 17 mnn, passe pour le chef-d'½uvre du cinéma surréaliste :",Un chien andalou,"La Coquille et le Clergyman,",Le Sang d'un poète,"(Le Fantôme de la liberté,",,3,Culture G #3,culture générale,2
Realisateur le plus lucratif (recettes totales) ?,Steven Spielberg,Peter Jackson,Michael Bay,James Cameron,,3,Culture G #3,culture générale,2
Quel est le film le plus cher jamais produit (inflation prise en compte) ?,Pirates des Caraïbes : Jusqu'au bout du monde,Cléopâtre,Avengers: Endgame,Spider-Man 3,,3,Culture G #3,culture générale,3
Quel est le nom du valet muet mais pas sourd de « Zorro » ?,don Diego,don Pablo,don vitelo,don corleone,,3,Culture G #3,culture générale,3
Quel est le véritable nom de Marylin Monroe ?,Norma Jean Baker,Grace Kelly,Mary McLeod,Angelica Evans Conway,,3,Culture G #3,culture générale,3
En quelle année est créé le personnage de Batman ?,1939,1932,1941,1949,,3,Culture G #3,culture générale,3
"Avec qui Sylvester Stallone joue dans la comédie musicale ""Le vainqueur"" de 1984 ?",Dolly Parton,Loretta Lynn,Miranda Lambert,Linda Ronstadt,,3,Culture G #3,culture générale,3
Quel est le film avec le plus grand nombre de figurant (300 000) ?,Gandhi,Le géant de la steppe,Intolérance,Le Seigneur des Anneaux-Les Deux Tours,,3,Culture G #3,culture générale,3
Quel est l'acteur le plus vieux à avoir reçu l'oscar du meilleur acteur à 83 ans ?,Anthony Hopkins,Jack Nicholson,Jack Lemmon,Daniel Day-Lewis,,3,Culture G #3,culture générale,3
"En 2019, il y a eu 213 millions d'entrée en france au cinéma, d'environ combien se chiffre à t'il été divisé en 2020 ? ",3,2,4,5,,3,Culture G #3,culture générale,3
Quelle a été la première adaptation au cinéma d'un roman de Stephen King ?,Carrie au bal du diable,Shining,Peur bleue,Creepshow,,3,Culture G #3,culture générale,3
"Pendant la période 1995-2002 pendant laquelle il incarnait James Bond, qu'était contractuellement interdit de faire Pierce Brosnan dans un autre film ?",Porter un smoking,commander un martini,jouer avec une ex-James Bond Girl,Utiliser un pistolet,,3,Culture G #3,culture générale,3
Quel film a remporté l'oscar du meilleur film en 1950 ?,Les Fous du roi,Bastogne,Chaînes conjugales,L'Héritière,,3,Oscar<1960,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1951 ?,Ève,Boulevard du crépuscule,Comment l'esprit vient aux femmes,Les Mines du roi Salomon,,3,Oscar<1960,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1952 ?,Un Américain à Paris,Quo Vadis,Le Traître,Un tramway nommé Désir,,3,Oscar<1960,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1953 ?,Sous le plus grand chapiteau du monde,L'Homme tranquille,Ivanhoé,Moulin Rouge,,3,Oscar<1960,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1954 ?,Tant qu'il y aura des hommes,L'Homme des vallées perdues,Jules César,La Tunique,,3,Oscar<1960,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1955 ?,Sur les quais,La Fontaine des amours,Ouragan sur le Caine,Les Sept Femmes de Barbe-Rousse,,3,Oscar<1960,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1956 ?,Marty,La Colline de l'adieu,Permission jusqu'à l'aube,Picnic,,3,Oscar<1960,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1957 ?,Le Tour du monde en quatre-vingts jours,Les Dix Commandements,Géant,La Loi du Seigneur,,3,Oscar<1960,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1958 ?,Le Pont de la rivière Kwaï,Douze hommes en colère,Les Plaisirs de l'enfer,Sayonara,,3,Oscar<1960,Oscar meilleur film,1
